Gene Name,Upregulated,Downregulated,Max
SAP30,0.6674058437347412,0.5410547256469727,0.6674058437347412
BCL11A,0.48692044615745544,0.667270839214325,0.667270839214325
ATP7A,0.3780965805053711,0.6671100854873657,0.6671100854873657
DDIT4,0.6669760942459106,0.532479465007782,0.6669760942459106
ZNHIT1,0.6662690043449402,0.4685608148574829,0.6662690043449402
PRNP,0.4391566216945648,0.6656906008720398,0.6656906008720398
AHCYL1,0.4878101944923401,0.665050208568573,0.665050208568573
S100A8,0.6650439500808716,0.4268247187137604,0.6650439500808716
CAMTA1,0.37162259221076965,0.6649610996246338,0.6649610996246338
SOCS2,0.6648806929588318,0.4835174083709717,0.6648806929588318
NFKBIA,0.6648016571998596,0.5074107646942139,0.6648016571998596
MT1F,0.6644350290298462,0.5410547256469727,0.6644350290298462
TMEM223,0.5410547256469727,0.6637072563171387,0.6637072563171387
PLSCR1,0.6628010869026184,0.5101537704467773,0.6628010869026184
ADCK2,0.45268914103507996,0.6627161502838135,0.6627161502838135
SYTL2,0.2842308580875397,0.6626243591308594,0.6626243591308594
TNS1,0.48586294054985046,0.6625596284866333,0.6625596284866333
DDX17,0.5101367831230164,0.6622932553291321,0.6622932553291321
GNA12,0.5416247844696045,0.6618282794952393,0.6618282794952393
TSFM,0.4717908203601837,0.6617236137390137,0.6617236137390137
TCF12,0.5341312885284424,0.6615260243415833,0.6615260243415833
NBPF1,0.4795289933681488,0.6613567471504211,0.6613567471504211
MBNL3,0.521855354309082,0.6611607670783997,0.6611607670783997
ZNF329,0.5181267857551575,0.6610602736473083,0.6610602736473083
TMEM40,0.5410547256469727,0.6608166694641113,0.6608166694641113
RBM6,0.47192880511283875,0.6607424020767212,0.6607424020767212
UBA6,0.6606441736221313,0.3824336528778076,0.6606441736221313
TRPS1,0.6605646014213562,0.3375841975212097,0.6605646014213562
ITGAM,0.6600412130355835,0.4637579023838043,0.6600412130355835
TUBB6,0.6600379943847656,0.2635164260864258,0.6600379943847656
FABP5,0.6598866581916809,0.5365259051322937,0.6598866581916809
RPL17,0.6594164371490479,0.5026102066040039,0.6594164371490479
PRR5,0.450646311044693,0.6593753695487976,0.6593753695487976
NFIX,0.5325847864151001,0.6589614152908325,0.6589614152908325
ZBTB24,0.6586240530014038,0.4246165454387665,0.6586240530014038
PGGHG,0.4052078425884247,0.6576399207115173,0.6576399207115173
ELP1,0.4742310047149658,0.6572594046592712,0.6572594046592712
ZNF160,0.5081434845924377,0.6554803252220154,0.6554803252220154
CDC42EP2,0.3597319722175598,0.655445396900177,0.655445396900177
MKRN1,0.4279121458530426,0.6549085974693298,0.6549085974693298
